PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2c19_conclusion,cyp2c19_score,cyp2d6_action,cyp2d6_warning,cyp2d6_conclusion,cyp2d6_score,cyp3a4_action,cyp3a4_warning,cyp3a4_conclusion,cyp3a4_score,cyp1a2_action,cyp1a2_warning,cyp1a2_conclusion,cyp1a2_score,cyp2c9_action,cyp2c9_warning,cyp2c9_conclusion,cyp2c9_score,Cano_Smile,XlogP
4362,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN1C(=O)C=CC1=O,0.9
4436,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,c1ccc2c(CC3=NCCN3)cccc2c1,2.1
4456,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,1.5
4487,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,2
4539,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1
4633,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,1,0,Active,90,0,0,Inactive,0,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,3.1
4713,1,0,Active,84,1,0,,82,1,0,Active,62,1,0,Active,90,1,0,Active,40,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,2.9
4748,0,0,Inactive,0,1,0,Active,93,0,0,Inactive,0,1,0,Active,91,0,0,Inactive,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.2
4754,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CCOc1ccc(NC(C)=O)cc1,1.6
4780,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,1,0,,40,0,0,Inactive,0,NC(N)=NC(N)=Nc1ccccc1,0
4831,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,-2.1
4843,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NC(=O)CN1CCCC1=O,-1.3
4849,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,2.2
4855,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,1.3
4871,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,5.5
4911,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.2
4912,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,11.3
4938,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,0.7
4991,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)C(=O)Oc1ccc[n+](C)c1,0.7
4994,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCC1(CC)C(=O)C=CNC1=O,1
5094,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Cn1c([N+](=O)[O-])cnc1COC(N)=O,-0.4
5142,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CSC(=N)N,0.2
5175,1,0,Active,92,0,0,Inactive,0,1,0,Active,42,1,0,Active,43,0,0,Inactive,0,CCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,5.6
5215,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-0.1
5219,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,N=c1c[n+](N2CCOCC2)[n-]o1,0.6
5227,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)CCCCSC(=N)N,0.9
5269,1,0,Active,94,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,88,1,0,Active,42,O=C1CCc2c(ccc3ccccc23)O1,2.9
5275,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COc1ccc(-c2ccc(N)[n+](CCCC(=O)O)n2)cc1,1.6
