No,PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2c19_conclusion,cyp2c19_score,cyp2d6_action,cyp2d6_warning,cyp2d6_conclusion,cyp2d6_score,cyp3a4_action,cyp3a4_warning,cyp3a4_conclusion,cyp3a4_score,cyp1a2_action,cyp1a2_warning,cyp1a2_conclusion,cyp1a2_score,cyp2c9_action,cyp2c9_warning,cyp2c9_conclusion,cyp2c9_score,Smile
76,649015,1,0,Active,48,1,0,Active,42,1,0,Active,43,1,0,Active,88,1,0,Active,41,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4
81,649283,1,0,Active,43,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,1,0,Active,42,COC1=C(C=C(C=C1)C2=NOC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4OC)OC
84,649650,1,0,Active,84,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,1,0,Active,43,CC1=CC=C(C=C1)SCC(=O)NC2=NN=C(S2)COC
86,649786,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,CCCCN1C2=C(N=C1SCC(=O)N3CCCC3)N(C(=O)N(C2=O)C)C
87,649878,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CSC(=C1)C2=NN(N=N2)CCC(=O)O
93,650100,1,0,Active,88,0,0,Inactive,0,1,0,Active,84,1,0,Active,86,1,0,Active,87,COC1=CC=CC=C1OCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CO4
106,5768893,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COCCN1C(C(=C(C2=CC(=CC=C2)OC)O)C(=O)C1=O)C3=CC=CO3
116,651589,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=NO1)NC(=O)CCC(=O)N2CCC3(CC2)OCCO3
119,651769,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,C1=CC(=C(C(=C1)Cl)COC(=O)CNC(=O)C2=CC=CO2)F
120,651959,1,0,Active,97,1,0,Active,88,1,0,Active,86,1,0,Active,43,1,0,Active,88,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5
126,26880,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CC(=O)NC1=CC=C(S1)C2=CC=CC=C2
128,652799,1,0,Active,83,0,0,Inactive,0,1,0,Active,63,0,0,Inactive,0,0,0,Inactive,0,CCOC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)NC3=C(C=CC(=C3)OC)OC)OCC
133,653213,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CC(OC1)CNS(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)O
135,653412,1,0,Active,46,1,0,Active,41,1,0,Active,88,1,0,Active,84,1,0,Active,86,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O
138,6603658,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)(C)C1=CC(=C(O1)CN2CCCCC2)C(=O)O.Cl
140,653695,1,0,Active,88,1,0,Active,40,1,0,Active,85,1,0,Active,87,1,0,Active,88,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O
148,654078,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,CCN1C(=NN=C1SCC2=CC=C(C=C2)C#N)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4
152,654257,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC(C)C
154,654435,1,0,Active,87,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,85,1,0,Active,84,C1=CC=C2C(=C1)N=C(O2)SCC(=O)NC3=NC4=CC=CC=C4S3
162,655265,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC1=CC=C(C=C1)OCC2=NN=C(N2N)SCC(=O)O
165,655439,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,1,0,Active,42,CCOC(=O)C1=C(NC(=O)NC1C2=COC=C2)C
170,655785,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CC(C(=O)NCC1CCCO1)NC(=O)OCC2=CC=CC=C2
178,656157,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,87,1,0,Active,42,C1=CC=C(C=C1)N2C3=C(C=N2)C(=O)OC(=N3)C4=CC=CO4
179,656183,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,1,0,Active,41,CC(C)OC(=O)NCCOC(=O)NC1=CC(=CC=C1)Cl
188,657488,1,0,Active,84,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,1,0,Active,88,CC1=CC=C(C=C1)C(=O)CNC2=NC3=C(N2CC4=CC=CC=C4)C(=O)NC(=O)N3C
189,6603060,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CN=C(N1)NCCO.I
194,658313,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=NN1S(=O)(=O)CC2=CC=CC=C2)C
198,658723,1,0,Active,42,1,0,Active,88,1,0,Active,41,1,0,Active,42,0,0,Inactive,0,COC(=O)C1=C(C2=C(N1)C=CC(=C2)Br)NC(=O)CN3CCN(CC3)C4CCCCC4
203,135435901,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC1=CC=C(C=C1)C2CC(=C(C(=O)C2)C=NCCN3CCOCC3)O
210,659654,1,0,Active,43,1,0,Active,41,1,0,Active,86,1,0,Active,85,1,0,Active,43,C1=CN=CC=C1C2=NC3=CC(=C(C=C3N2)F)F
214,4323243,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)CCN=CC1=C(N(C(=O)NC1=O)CC=C)O
215,1922089,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=C(C(=C1)C)N2C(=C(C(=O)NC2=O)C=NCCN3CCOCC3)O)C
219,659795,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,1,0,Active,62,CC1=CC(=NC(=N1)N2CCOCC2)OC3=CC=C(C=C3)C4=CC=CC=C4
222,659902,1,0,Active,95,1,0,Active,43,1,0,Active,88,1,0,Active,89,1,0,Active,90,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4
224,659943,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)C1=NC(=NC(=N1)SC)OC2=NNC(=O)C=C2
243,661170,1,0,Active,93,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,1,0,Active,67,C1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)Cl)C3=NN=C(O3)C4=CC=CO4
246,661203,1,0,Active,62,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,85,1,0,Active,46,CC1CCC2=C3N1C4=C(C=C(C(=C4)C#N)C#N)OC3=CC=C2
247,661217,1,0,Active,64,1,0,Active,43,1,0,Active,41,1,0,Active,65,1,0,Active,64,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CS3)C#N
251,661300,1,0,Active,45,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,45,1,0,Active,42,C1=CC=C(C=C1)C2=NC(=S)N(N2)C3=CC=CC=C3
252,661349,1,0,Active,88,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,45,CC1=C(C(=C(N1NC(=O)C2=CC=NC=C2)C)C(=O)C)C(=O)C
253,661355,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1C2=CC=CC=C2N(C1=O)CCC(=O)O
254,661394,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CSC1=NC(=C(C(=O)N1)CC2=CC=CC=C2)O
256,6603015,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)CC(COC1=CC(=CC=C1)OCC(CN(C)C)O)O.Cl
257,6603014,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)(C1=CC=C(C=C1)OCC(CN(C)C)O)C2=CC=C(C=C2)OCC(CN(C)C)O.Cl
261,661513,1,0,Active,97,0,0,Inactive,0,1,0,Active,88,1,0,Active,41,1,0,Active,40,CCN1C(=NN=C1SCC(=O)NC2=CC=CC=C2C(=O)OC)C3=CC=C(C=C3)N
263,661528,1,0,Active,86,0,0,Inactive,0,1,0,Active,41,1,0,Active,41,1,0,Active,84,CC1=CC=C(C=C1)C2NC3=CC=CC=C3C(=O)N2CC4=CC=CO4
275,5389389,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,1,0,Active,41,CC1=CC(=NO1)N2C(C(=C(C3=CC(=CC=C3)OC)O)C(=O)C2=O)C4=CC=CS4
276,5389423,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN(CC)CCN1C(C(=C(C2=CC(=CC=C2)OC)O)C(=O)C1=O)C3=CC=CC=N3
279,6881185,1,0,Active,42,0,0,Inactive,0,1,0,Active,63,1,0,Active,85,1,0,Active,43,COCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)N=CC4=CC=CC=N4)N
282,662144,0,0,Inactive,0,1,0,Active,43,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCN(CC3)CC4=CC=CC=C4)C)C
283,662162,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCOC1=C(C=C(C=C1)C2C(=C(C(=O)N2CCN3CCOCC3)O)C(=O)C4=CC=CO4)OC
284,5775,1,0,Active,40,1,0,Active,65,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
290,5389504,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC1=CC=C(C=C1)C(=C2C(N(C(=O)C2=O)CCOCCO)C3=CN=CC=C3)O
296,6603499,0,0,Inactive,0,1,0,Active,63,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(CN1CCN(CC1)C)OC(=O)C2=CC(=C(C=C2)OC)OC.Cl
299,662647,1,0,Active,42,0,0,Inactive,0,1,0,Active,41,1,0,Active,41,1,0,Active,41,COC1=CC=CC=C1C2=NN=C3N2N=C(CS3)C4=CC(=C(C=C4)O)O
301,662670,1,0,Active,41,1,0,Active,40,1,0,Active,43,1,0,Active,84,1,0,Active,83,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4
308,662868,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1N=C(N=N1)NC(=O)C2=CC=CO2
311,662991,1,0,Active,91,1,0,Active,44,1,0,Active,85,1,0,Active,45,1,0,Active,43,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)Cl
318,663125,1,0,Active,97,1,0,Active,42,1,0,Active,89,1,0,Active,87,1,0,Active,50,C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl
319,663143,1,0,Active,43,0,0,Inactive,0,1,0,Active,41,1,0,Active,41,1,0,Active,42,CCOC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CC=C4OC
320,663146,1,0,Active,44,1,0,Active,87,1,0,Active,90,1,0,Active,43,1,0,Active,44,COC1=CC2=C(C=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6
325,663331,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN(C)C(=O)CON1C(=O)C2=CC=CC=C2N=C1SCC(=O)N(C)C
326,663337,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,1,0,Active,64,0,0,Inactive,0,CCOC(=O)C1=C(C2=CC(=C(C=C2N1)OC)OC)NC(=O)C3=CC4=C(C=C3)OCO4
328,663539,1,0,Active,89,0,0,Inactive,0,1,0,Active,42,1,0,Active,66,1,0,Active,85,CC1=NC2=C(C(=N1)SCC(=O)NC3=CC4=C(C=C3)OCCO4)OC5=CC=CC=C52
332,5389740,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCN1C2=CC=CC=C2C3(C1=O)C(=C(C4=CC5=C(C=C4)OCCO5)O)C(=O)C(=O)N3CCCOC
335,5389753,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=CN2C1=NC(=C2C(=C3C(N(C(=O)C3=O)CCN(C)C)C4=CC=NC=C4)O)C
337,54676164,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,CCOC(=O)C1=C(C(=O)N(C1C2=CC=C(C=C2)OC)C3=CC=C(C=C3)S(=O)(=O)N)O
340,664154,1,0,Active,44,1,0,Active,40,1,0,Active,42,1,0,Active,43,1,0,Active,43,CC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)CN3CCCC4=CC=CC=C43
343,664283,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)S(=O)(=O)NC(C(C)C)C(=O)N2CCC(CC2)C(=O)NCC(=O)O
345,135513628,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CCOC(=C(C(=NCCCO)N)C(=O)OCC)O
349,6603365,1,0,Active,47,1,0,Active,87,1,0,Active,89,1,0,Active,94,1,0,Active,91,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)NCCCN4C=CN=C4.Cl
361,5389897,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCN(CC3)CCO)C4=CC=CC=C4OC
368,6602811,1,0,Active,44,1,0,Active,44,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CCCCCCN1CC2=CC=CC=C2C1.Br
372,665299,1,0,Active,64,0,0,Inactive,0,1,0,Active,41,1,0,Active,65,1,0,Active,85,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC4=C(C=C3)N=C(N4)C5=CC=C(O5)Br
375,665437,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC1=CC=C(C=C1)C2=[N+](C(N(C2(C)C)O)(C)C)[O-]
391,135465169,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C(=O)NC(=N1)N2CCN(CC2)C3=CC=CC=C3)CC4=CC=CC5=CC=CC=C54
395,2108763,1,0,Active,42,0,0,Inactive,0,1,0,Active,41,1,0,Active,43,1,0,Active,45,C1=CC=C2C(=C1)C(=O)N(N=N2)CSC3=NN=C(N3CC4=CC=CO4)COC5=CC=C(C=C5)Cl
406,2997860,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,CC1=CC(=C(C=C1)N2C=CN=C2SCC(=O)N(CC(C)C)C3CCS(=O)(=O)C3)C
409,2116404,1,0,Active,46,0,0,Inactive,0,1,0,Active,85,0,0,Inactive,0,1,0,Active,85,CC1=CC(=NO1)NC(=O)COC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCC4=CC=CC=C43
413,135415414,1,0,Active,42,0,0,Inactive,0,1,0,Active,41,1,0,Active,85,1,0,Active,88,C1=COC(=C1)CNC(=O)CSC2=NC3=C(C(=CC(=N3)C4=CC=CS4)C(F)(F)F)C(=O)N2
415,943085,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,83,0,0,Inactive,0,C1=CC=C(C=C1)N2C3=C(C=N2)C4=NN=CN4C=N3
418,2161188,1,0,Active,88,1,0,Active,43,1,0,Active,90,1,0,Active,42,1,0,Active,87,CC1=CC(=C(N1CCC2=CC=C(C=C2)F)C)C(=O)CSC3=NN=C(S3)N
422,2537506,1,0,Active,41,0,0,Inactive,0,1,0,Active,43,1,0,Active,41,1,0,Active,42,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)CSCC3=C(ON=C3C)C)C
431,2998265,1,0,Active,63,0,0,Inactive,0,1,0,Active,86,0,0,Inactive,0,1,0,Active,41,C=CN1C=CN=C1P(=S)(C2CCCCC2)C3=NC=CN3C=C
434,6861488,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,C1=CC=C(C=C1)NC(=O)C=NO
441,2998398,1,0,Active,42,0,0,Inactive,0,1,0,Active,84,1,0,Active,43,1,0,Active,41,C1CC(OC1)CNC(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)C5=CC=CC=C5)N
443,2998489,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=NC2=NN=C(N12)SCC(=O)N(C)C3CCS(=O)(=O)C3)C
444,2433797,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC=C(C(=C1)C(=O)O)SCC(=O)NCC2=CC=CO2
450,2998702,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,42,1,0,Active,41,COC1=CC=C(C=C1)C2=NCC(S2)CSC3=NC=CC(=O)N3
451,2998722,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CC1CN(CC(O1)C)C(=O)C2=CC3=C(S2)CCC3
454,2098196,1,0,Active,84,0,0,Inactive,0,1,0,Active,84,1,0,Active,40,1,0,Active,83,CC1=C(C(=NO1)C)COC2=CC=CC(=C2)C(=O)OCC(=O)N3CC(=O)NC4=CC=CC=C43
460,2545865,1,0,Active,86,0,0,Inactive,0,1,0,Active,84,1,0,Active,47,1,0,Active,87,CCOC(=O)C1=C(NC(=C1C)C(=O)COC(=O)C2=CC=CC=C2NC(=O)C3=CC=CO3)C
467,2393456,1,0,Active,67,0,0,Inactive,0,1,0,Active,42,1,0,Active,64,1,0,Active,63,C1=CC=C2C(=C1)C(=O)N(C(=N2)SCC(=O)C3=CC=CO3)C4=CC=C(C=C4)Cl
473,135415501,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,C1CN(CCN1C(=O)COC(=O)CCC2=NC3=CC=CC=C3C(=O)N2)S(=O)(=O)C4=CC=CC=C4
478,2999387,1,0,Active,93,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,1,0,Active,87,C1CN(CCN1C2=CC=CC=C2)S(=O)(=O)C3=CC=CC(=C3)C(=O)OCC(=O)NCC4=CC=CO4
480,2115176,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,84,1,0,Active,42,CCC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=NOC(=C3)C
484,2999625,1,0,Active,50,1,0,Active,41,1,0,Active,42,1,0,Active,40,1,0,Active,86,CCCN1C2=CC=CC=C2N=C1NC(=O)C3CCN(CC3)S(=O)(=O)C4=CC=CS4
492,2570225,1,0,Active,86,0,0,Inactive,0,1,0,Active,84,1,0,Active,86,1,0,Active,86,C1=CC=C(C=C1)CCN2C(=O)C3=C(N=C2SCC#N)SC=C3C4=CC=CS4
505,2408768,1,0,Active,43,0,0,Inactive,0,1,0,Active,43,1,0,Active,87,0,0,Inactive,0,COC1=CC2=C(C=C1)C(=C(S2)C3=NN=CO3)Cl
506,2336875,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CC1=CN=C(C=N1)C(=O)OCC(=O)NC2=CC=C(C=C2)Cl
507,2326513,1,0,Active,97,1,0,Active,84,1,0,Active,86,1,0,Active,85,1,0,Active,91,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)NC2=CC=NC=C2)Cl
518,3232590,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,42,1,0,Active,44,COCCN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CC(=C3)C#N)N4CCNCC4
529,3232601,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COCC(=O)N1CCC2(CCN(CC2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CC1
533,3232605,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,CC1=C(C(=NO1)C)C2=CC(=NC=N2)N(C)C
537,3232609,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,93,0,0,Inactive,0,C1CC1N2C3=NC=NC=C3N=C(C2=O)C4=CC=C(C=C4)F
541,3232613,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,1,0,Active,85,0,0,Inactive,0,CC1=NC2=CN=C(N=C2N(C1=O)C3CC3)NC4=CC(=CC=C4)OC
547,3232619,1,0,Active,41,1,0,Active,41,1,0,Active,41,1,0,Active,89,1,0,Active,46,CNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC
548,3232620,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,41,0,0,Inactive,0,COC1=CC=C(C=C1)OC2=NC=C3C(=N2)N(C(=O)C=N3)CCC#N
549,3232622,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COCC(=O)N1CCCC2(C1)CCN(C2)C(=O)NC3=CC=CC=C3
557,3232630,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CS(=O)(=O)N1CCC2(CCN(CC2)C(=O)NC3=CC=CC(=C3)C#N)CC1
560,3232633,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CC1=NC2=CN=C(N=C2N(C1=O)CCC#N)N3CCOCC3
566,3232639,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,87,0,0,Inactive,0,COCCNC1=NC(=NC=C1)C2=CC(=CC=C2)NS(=O)(=O)C
573,3232646,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C=N3)C
575,3232648,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)CN1CC2(C1)CCN(CC2)C(=O)OC3=CC=CC=C3
577,3232650,1,0,Active,94,1,0,Active,87,1,0,Active,89,1,0,Active,88,1,0,Active,51,CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC
590,3232663,1,0,Active,43,1,0,Active,42,1,0,Active,41,1,0,Active,88,0,0,Inactive,0,CN(CC1=CC=CO1)C2=NC(=NC=C2)C3=CN=CC=C3
599,3232672,1,0,Active,85,1,0,Active,41,1,0,Active,87,1,0,Active,89,0,0,Inactive,0,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CN=CC=C4
