No,PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2d6_action,cyp2d6_warning,cyp3a4_action,cyp3a4_warning,cyp1a2_action,cyp1a2_warning,cyp2c9_action,cyp2c9_warning,relation_task1,cyp2c9_score,Smile
17,645578,1,0,0,1,1,0,0,0,0,1,,20,CC1CCCC(N1C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C
18,5721248,0,1,0,0,0,0,0,1,0,1,,21,C1C(OC2=CC=CC=C2O1)C(=NO)N.Cl
19,645818,1,0,1,0,0,1,1,0,1,0,,42,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3
20,645911,1,0,0,0,0,1,0,1,0,1,,20,CCC1=NN=C(N1N)SCC2=CC=C(C=C2)OC(C)C
21,645929,0,0,0,1,1,0,0,0,0,0,,0,CC(C)(C)NC(=O)CSC1=NN=C(N1C2CCCCC2)CC3=CC4=C(C=C3)OCO4
22,645965,1,0,1,0,1,0,0,1,0,1,,10,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4
23,6398898,1,0,0,0,0,1,1,0,0,1,,20,C1=CC=C(C=C1)COC(=O)CSC2=NC3=C(C4=C(N3)C=CC(=C4)F)N=N2
24,646118,1,0,0,1,0,1,1,0,1,0,,87,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC
25,646164,1,0,0,0,0,0,1,0,0,1,,20,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C)C#N
26,646293,0,1,0,0,1,0,1,0,1,0,,41,CC1=CC2=C(C=C1)C=C(C3=NN=C(N23)SCC(=O)NCC4=CC=CO4)C
27,646345,1,0,0,1,0,1,0,1,0,0,,0,C1CN(CCC1C(=O)C2=CC3=C(C=C2)OCCO3)S(=O)(=O)C4=CC=CC=C4F
28,646352,0,1,0,0,0,1,0,1,0,1,,20,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N3CCOCC3)C4=CN=CC=C4
29,646353,1,0,0,0,0,0,0,0,0,0,,0,CCOC(=O)N1CCN(CC1)S(=O)(=O)CC2=CC=CC=C2
30,646395,1,0,1,0,1,0,1,0,1,0,,86,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N
31,646427,1,0,0,1,0,1,1,0,1,0,,86,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=CC(=NC4=NC=NN34)C5=CC=CC=C5
32,646472,1,0,0,0,1,0,0,1,0,1,,20,CCOC(=O)C1=CC2=C(N1CC(=O)N3CCN(CC3)C(=O)C4=CC=CO4)C=C(S2)C
33,646515,0,0,0,0,0,0,0,0,0,0,,0,CCOC(=O)C(C(C1=CC(=CC=C1)N(CCO)CCO)OC(=O)C)NC(=O)C
34,646597,1,0,0,0,0,0,1,0,0,1,,10,CCC(=O)NC1=CC2=C(C=C1C(=O)C3=CC=CC=C3)OCCO2
35,6602690,0,0,0,0,0,0,0,1,0,0,,0,CN(C)CCNC(=O)C(C(=O)C1=CC=C(C=C1)F)N2C=CC=CC2=O.Cl
36,646768,0,0,0,0,0,0,0,0,0,1,,10,CC1=CC(=NC(=N1)N2CCC(CC2)C(=O)NCCC3=CC=C(C=C3)F)C
37,646780,1,0,0,0,0,1,0,0,0,1,,10,COC1=CC(=CC(=C1OC)OC)C2=NN=C(O2)C3=CC=C(C=C3)N4CCOCC4
38,646897,1,0,0,0,0,0,0,0,1,0,,86,CN(C)C=C1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3
39,646955,0,0,0,0,0,0,0,1,0,1,,10,COC(=O)CN(C1=CC=CC=N1)S(=O)(=O)C2=CC=CC=C2
40,6398903,0,1,0,0,0,1,1,0,0,1,,20,CC1=CC(=C(C=C1)C)C(=C2C(N(C(=O)C2=O)CCN3CCOCC3)C4=CC=CO4)O
41,647114,1,0,0,0,0,1,1,0,0,1,,20,CN1C2=CC=CC=C2N=C1SC3=CS(=O)(=O)C4=CC=CC=C43
42,647166,1,0,0,1,0,1,1,0,1,0,,42,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3
43,647205,1,0,1,0,1,0,0,0,1,0,,42,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N
44,647262,0,0,0,1,0,1,0,1,0,0,,0,CC1=CC=C(C=C1)C2=CN=C(N2C)NC(=O)CCC(=O)N3CCCCC3
45,647302,1,0,1,0,1,0,1,0,0,1,,20,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O
46,647430,0,0,0,0,0,0,0,1,0,0,,0,CC1=CC(=NN1C2=NC3=C(N2C(C)C)C(=O)NC(=O)N3C)C
47,647498,0,1,0,0,0,0,0,0,0,0,,0,CC1(C(=O)N(C(=N1)SCCC#N)C2=CC=CC=C2)CCC#N
48,647585,1,0,0,1,1,0,1,0,0,1,,25,CC1=CC(=CC=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3
49,647727,0,0,1,0,0,0,1,0,0,1,,20,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4
50,647748,1,0,0,0,0,1,0,1,1,0,,85,CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)N3CCN(CC3)C(=O)C(C)C)Cl
51,6602522,1,0,1,0,0,1,1,0,1,0,,43,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl
52,647933,1,0,0,0,1,0,0,1,1,0,,43,C1CN(CCN1C2=CC=CC=C2)C(=O)NC3=CC(=CC=C3)NC(=O)N4CCN(CC4)C5=CC=CC=C5
53,647937,0,1,0,0,0,0,0,0,0,0,,0,CC(=O)NC1(CCN(CC1)CC(=O)NC2CCCCC2)C3=CC(=CC=C3)F
54,647987,1,0,0,0,0,0,0,0,1,0,,85,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4
55,647996,0,0,0,0,0,1,1,0,0,1,,20,CC1=CC(=CC=C1)NC2=NC3=C(N2CC(CO)O)C(=O)N(C(=O)N3C)C
56,648007,1,0,0,1,1,0,1,0,1,0,,40,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NN=NN2C
57,648068,0,1,0,0,1,0,0,1,1,0,,42,CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CC3=CC=NC=C3)O)C(=O)C4=CC=C(O4)C
58,648175,0,1,0,0,1,0,0,0,0,1,,20,CCN1C(=NN=C1SCC(=O)NC(C)(C)C)CC2=CC=CC=C2
59,648218,0,1,0,0,0,0,1,0,0,1,,20,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2CCCO2
60,648236,0,1,0,0,1,0,0,1,1,0,,41,CCC(C)(C)N1C(=NN=N1)C(C(C)C)N(CCCO)CC2=CC3=C(C=CC(=C3)C)NC2=O
61,648282,0,1,0,0,1,0,0,0,1,0,,43,COC1=C(C=C2C(=C1)C=C(C(=O)N2)CN(CCCO)S(=O)(=O)C3=CC=CC=C3Cl)OC
62,648407,0,0,0,0,0,0,1,0,0,0,,0,CCC1=NN=C(S1)NC(=O)CSC2=NN=C(N2CC3=CC=CC=C3)COC4=CC=CC=C4
63,648428,1,0,0,0,0,0,1,0,1,0,,41,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl
64,648481,0,0,0,0,0,1,1,0,0,1,,20,CSC1=NC2=NC3=C(CN(CC3)CC4=CC=CC=C4)C(=O)N2N1
65,6602523,1,0,1,0,0,1,1,0,1,0,,84,CCC1=CC2=C(N=CN=C2S1)NCC3=CC=CO3.Cl
66,648537,0,0,0,0,0,0,1,0,1,0,,64,CCC1=CC2=C(N=CN=C2S1)NCCO
67,5769011,0,0,0,1,0,0,1,0,0,1,,22,CC1=CC(=C(C=C1)C)C(=C2C(N(C(=O)C2=O)CC3=CN=CC=C3)C4=CN=CC=C4)O
68,648642,0,1,0,1,0,0,0,0,0,0,,0,CC1=CC(=NN1C2=NC3=C(N2CC(C)C)C(=O)NC(=O)N3C)C
69,648672,1,0,0,1,0,1,1,0,1,0,,41,C1=CC(=CC=C1C2=C(C(=NN2)N)Cl)Br
70,648708,0,0,0,0,1,0,0,0,0,1,,20,CC1=C(C(=NN1C)C)CNC(=O)C2=C3NC(CC(N3N=C2)C(F)(F)F)C4=CC=CC=C4
71,648768,0,0,0,0,0,0,0,0,0,0,,0,CN(CCC#N)CC(=O)NC1=CC=C(C=C1)NC(=O)CN(C)CCC#N
72,648771,1,0,0,1,0,1,0,1,0,1,,20,CCCCN1C(=NN=C1SCC(=O)NC(C)(C)C)C2=CC=CO2
73,648836,0,1,0,0,1,0,0,0,0,1,,20,CC1=CC=C(C=C1)C(C2=NN=NN2CC3CCCO3)N4CCN(CC4)C(=O)C5=CC=CO5
74,648878,1,0,0,0,1,0,1,0,1,0,,42,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl
75,648947,0,0,0,0,0,0,0,0,0,0,,0,COC1=CC(=C(C=C1)OC)NC(=O)C(CC(=O)O)NCC2=CC=CO2
76,649015,1,0,1,0,1,0,1,0,1,0,,41,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4
77,649054,1,0,0,0,0,1,1,0,0,1,,21,CCCCOC(=O)CSC1=NN=C(O1)C2=CC(=C(C(=C2)OC)OC)OC
78,649153,0,1,0,0,0,1,0,1,0,0,,0,CC1=CC=C(O1)C(C(=O)NCCOC)N(CC2CCCO2)C(=O)CN3C4=CC=CC=C4N=N3
79,649165,1,0,0,0,1,0,0,1,0,1,,10,CC1=C(C=C(C=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)OC)OC)C
80,2859713,0,0,0,1,0,0,0,0,0,0,,0,COC(=O)CN1C2=CC=CC=C2N(C1=N)CCN3CCCCC3.Br
81,649283,1,0,0,0,1,0,0,0,1,0,,42,COC1=C(C=C(C=C1)C2=NOC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4OC)OC
82,5768894,0,0,0,0,0,0,0,1,0,1,,20,CC1=CC=C(O1)C2C(=C(C3=CC(=CC=C3)OC)O)C(=O)C(=O)N2CCOC
83,649453,1,0,0,0,1,0,0,1,0,1,,10,CCN1C(=NN=C1SCC(=O)NC2=C(C=CC(=C2)OC)OC)COC3=CC=CC=C3
84,649650,1,0,0,0,0,0,1,0,1,0,,43,CC1=CC=C(C=C1)SCC(=O)NC2=NN=C(S2)COC
85,649754,1,0,1,0,1,0,1,0,0,1,,20,C1CC(OC1)CN2C(=CN=C2N)C3=CC=CC=C3
86,649786,0,0,0,0,1,0,0,0,0,0,,0,CCCCN1C2=C(N=C1SCC(=O)N3CCCC3)N(C(=O)N(C2=O)C)C
87,649878,0,0,0,0,0,0,0,0,0,0,,0,C1=CSC(=C1)C2=NN(N=N2)CCC(=O)O
88,649949,1,0,0,1,1,0,1,0,1,0,,42,C1CCCN(CC1)C2=CC=CC=C2NC(=O)CSC3=NC4=CC=CC=C4O3
89,650002,0,0,0,0,0,0,0,0,0,1,,21,CN1C2=C(C(=O)NC1=O)N(C(=N2)NCCCO)CCCC3=CC=CC=C3
90,6398918,1,0,0,1,0,1,1,0,1,0,,43,CCOC(=O)CC(=O)CSC1=NC2=C(C3=CC=CC=C3N2)N=N1
91,650023,1,0,0,0,1,0,1,0,0,1,,20,C1CCCN(CC1)C2=C(C=CC=N2)C(=O)NC3CCCC3
92,135439099,1,0,0,1,1,0,1,0,1,0,,94,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5
93,650100,1,0,0,0,1,0,1,0,1,0,,87,COC1=CC=CC=C1OCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CO4
94,6602529,1,0,1,0,0,0,0,1,1,0,,69,COC1=CC=CC(=C1)C(=O)NC2CC3CCCC(C2)N3CC(=O)NC4=CC=CC=C4.Cl
95,650250,1,0,0,0,0,1,1,0,1,0,,83,CC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)NS(=O)(=O)C4=CC5=C(C=C4)OCCO5
96,650341,1,0,0,0,1,0,0,1,0,0,,0,CC1=CC=C(C=C1)NC(=O)NC2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC
97,650434,0,1,0,0,0,1,1,0,0,1,,20,CC1=CC(=NN1CC(=O)NC2=NC(=CS2)C3=CC=C(C=C3)OC)C
98,650486,1,0,0,0,1,0,0,1,1,0,,41,CN1C(=NN=C1SCC2=CC=CC=C2)CNC(=O)NC3=CC=CC=C3
99,650558,1,0,0,0,1,0,1,0,0,1,,21,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NN=C(O3)CNC4=CC=CC=C4
100,650691,0,1,0,0,0,0,0,0,1,0,,47,CCCCNC(=O)NS(=O)(=O)C1=CC=C(O1)C(=O)OC(C)C
101,6602999,1,0,1,0,0,1,1,0,0,1,,20,CCOC(=O)C1CC2=C(CN1)NC3=CC=CC=C23.Cl
102,2740817,0,1,1,0,0,1,0,0,0,0,,0,CC1=CC=C(C=C1)C(=O)C2CCNCC2.Cl
103,590998,0,0,0,1,0,0,0,0,0,0,,0,CCOC1=CC=C(C=C1)C(=O)N2CCCC2C(=O)O
104,650985,1,0,1,0,0,0,0,1,1,0,,43,CC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC
105,651025,0,1,0,1,1,0,1,0,0,1,,21,CCCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)OC)OC
106,5768893,0,0,0,0,0,0,0,0,0,0,,0,COCCN1C(C(=C(C2=CC(=CC=C2)OC)O)C(=O)C1=O)C3=CC=CO3
107,651076,1,0,0,0,0,1,1,0,0,1,,22,CCC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NN=NN2CC3=CC=CC=C3
108,651086,1,0,0,1,1,0,1,0,1,0,,40,CC1=CC(=NN1C2=NC(=CC(=N2)C(F)F)C3=CC=C(C=C3)OC)C
109,651189,0,1,0,1,1,0,0,1,0,1,,10,COC1=C(C=C(C=C1)Cl)NC(=O)CN2C(=O)CSC2=O
110,651205,0,1,0,0,0,0,0,1,0,0,,0,CCC1=C(N=C2C(=C(NN2C1=O)C)C#N)C
111,651207,0,1,0,0,0,0,1,0,0,0,,0,CCOC(=O)N1CCN(CC1)C(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCOCC3
112,135450659,1,0,0,1,1,0,0,1,1,0,,88,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)C(=O)CC5=CC=CS5)N=N2
113,651338,1,0,0,0,0,1,1,0,1,0,,85,CCC(=O)N(CC1=CC=CO1)C2=NC(=CS2)C3=CC=CC=C3
114,651433,0,0,0,0,0,0,0,1,0,1,,20,CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)O
115,651587,0,1,1,0,0,0,0,0,0,1,,10,C1CCN(CC1)CCCOC(=O)C2=CC=C(C=C2)O
116,651589,0,0,0,0,0,0,0,0,0,0,,0,CC1=CC(=NO1)NC(=O)CCC(=O)N2CCC3(CC2)OCCO3
117,651603,0,0,0,1,0,0,1,0,0,0,,0,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4
118,135450662,1,0,1,0,1,0,1,0,0,1,,20,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CS4
119,651769,1,0,0,0,0,0,1,0,0,0,,0,C1=CC(=C(C(=C1)Cl)COC(=O)CNC(=O)C2=CC=CO2)F
120,651959,1,0,1,0,1,0,1,0,1,0,,88,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5
121,652002,0,0,0,0,0,0,0,1,0,0,,0,C1=CC=C(C=C1)OC(=O)CSC2=NN=C(O2)C3=CN=CC=C3
122,652325,0,1,0,0,0,1,1,0,0,0,,0,CCOC(=O)CSC1=NNC(=N1)C2=CN=CC=C2
123,652521,0,0,1,0,0,0,1,0,0,1,,22,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CN3CCCC3
124,652549,0,1,0,0,1,0,0,0,0,1,,20,CC(C)C(C(=O)NCC1CCCO1)N(CC2=CC=CO2)C(=O)CNS(=O)(=O)C3=CC=C(C=C3)F
125,611711,0,1,0,0,0,0,1,0,0,0,,0,CCCCN1C2=C(N=C1Cl)N(C(=O)N(C2=O)C)C
126,26880,0,0,0,0,0,0,1,0,0,0,,0,CC(=O)NC1=CC=C(S1)C2=CC=CC=C2
127,652700,1,0,0,0,0,0,0,1,0,0,,0,COCCNC(=O)COC(=O)C1=NSC(=C1Cl)Cl
128,652799,1,0,0,0,1,0,0,0,0,0,,0,CCOC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)NC3=C(C=CC(=C3)OC)OC)OCC
129,652954,0,0,0,0,0,0,0,1,0,0,,0,C1CC2=C(C(=O)C1)C3(CCC4(CC3)OCCO4)C(=C(O2)N)C#N
130,6603138,0,0,1,0,0,0,0,1,0,0,,0,C1CCC(CC1)N2CCN(CC2)CC(=O)NCCC3=CCCCC3.Cl
131,2054625,1,0,0,0,0,0,1,0,0,1,,20,C1COCCN1C=C(C#N)C2=CC=CC=C2
132,653097,0,1,0,0,0,1,0,1,0,0,,0,COC1=C(C=C(C(=C1)C(=O)NC2=CC3=C(C=C2)OCCO3)N4C=NN=N4)OC
133,653213,0,0,0,0,0,0,0,0,0,0,,0,C1CC(OC1)CNS(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)O
134,653279,0,1,0,0,0,0,0,0,0,0,,0,C1C23C=CC(O2)C(C3C(=O)N1CC4=CC=CC=N4)C(=O)O
135,653412,1,0,1,0,1,0,1,0,1,0,,86,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O
136,135417689,1,0,0,1,1,0,1,0,1,0,,45,CC1=CC(=CC=C1)NC(=O)N(CC2=NC3=CC=CC=C3C(=O)N2)C4CCCC4
137,6603457,1,0,0,0,0,1,0,0,0,0,,0,CCC(C1=NN=NN1CCOC)N2CCN(CC2)C(=O)C3=CC=CO3.Cl
138,6603658,0,0,0,0,0,0,0,0,0,0,,0,CC(C)(C)C1=CC(=C(O1)CN2CCCCC2)C(=O)O.Cl
139,653646,1,0,0,0,0,1,1,0,1,0,,41,C1CN(CCN1C2=CC(=NC3=NC=NN23)C4=CC=CC=C4)S(=O)(=O)C5=CC=CC=C5
140,653695,1,0,1,0,1,0,1,0,1,0,,88,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O
141,653778,0,0,0,0,1,0,0,1,0,1,,20,COC1=CC=CC=C1N2C3=C(C=CC=N3)N=C2SCC(=O)N4CCCC4
142,653799,1,0,0,0,0,1,0,1,0,0,,0,CCC1=NN=C2N1N=C(S2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4
143,627902,1,0,0,1,1,0,1,0,1,0,,42,CN(C)C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CC=C3)O
144,653914,1,0,1,0,1,0,0,1,0,1,,20,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC
145,654042,1,0,0,0,0,1,0,0,0,0,,0,CC1=NNC(=O)N=C1NCC2=CC=CC=C2Cl
146,654046,0,1,0,0,1,0,1,0,1,0,,41,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)OCC(=O)C3=CC(=CC=C3)OC
147,654068,0,1,0,0,0,1,1,0,1,0,,64,COC1=CC=CC(=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6
148,654078,1,0,0,0,0,0,0,0,1,0,,43,CCN1C(=NN=C1SCC2=CC=C(C=C2)C#N)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4
149,654182,0,1,0,0,0,0,1,0,0,1,,20,CCOC(=O)CC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=CC=C3
150,6398932,1,0,0,0,0,1,1,0,0,1,,21,CCOC1=CC=CC(=C1)C(=C2C(N(C(=O)C2=O)CC3=CC=CO3)C4=CC=NC=C4)O
151,654244,1,0,0,1,0,0,1,0,0,0,,0,CC1CCN(CC1)C(=O)CSC2=NC3=C(N2C)N=CC=C3
152,654257,0,0,0,0,0,0,0,0,0,0,,0,CCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC(C)C
153,654363,1,0,1,0,1,0,0,1,1,0,,43,C1CCC(CC1)NC(=O)C(C2=CC=CS2)N(CC3=CC=CS3)C(=O)C4=CC=CO4
154,654435,1,0,0,0,0,0,1,0,1,0,,84,C1=CC=C2C(=C1)N=C(O2)SCC(=O)NC3=NC4=CC=CC=C4S3
155,5373216,0,1,0,0,0,0,0,1,0,0,,0,COC1=NNC2=C1N=CN=N2
156,654546,1,0,0,0,0,0,0,1,1,0,,42,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=NCCS3
157,654623,1,0,0,0,0,1,0,0,0,1,,20,COC1=CC=C(C=C1)CNC(=O)CN(CC2CCCO2)C(=O)CNS(=O)(=O)C3=CC=CC=C3
158,654635,0,1,0,0,0,0,0,0,1,0,,42,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC(=C(C=C3)O)OC)CCC4=CC=CC=C4)O
159,654761,0,1,0,0,0,0,0,0,1,0,,40,CC1=CC=C(N1C(CC2=CC=CC=C2)C(=O)O)C
160,655127,0,1,0,0,0,0,1,0,0,0,,0,CC1=CC(=NN1C2=NC(=NC(=N2)NC(C)C)NC(C)C)C
161,655183,1,0,0,0,1,0,0,1,0,1,,20,CC1=CC(=C2C(=C1)C=C(C(=O)N2)CN(CC3=CC=CC=C3OC)CC4=NN=NN4CC5CCCO5)C
162,655265,0,0,0,0,0,0,0,0,0,0,,0,COC1=CC=C(C=C1)OCC2=NN=C(N2N)SCC(=O)O
163,5768421,0,1,0,0,0,0,0,0,0,1,,20,CC1=C(C=CC(=C1)C(=C2C(N(C(=O)C2=O)CCCOC)C3=CC=NC=C3)O)OC(C)C
164,655401,1,0,1,0,1,0,0,1,1,0,,97,CCN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=NC=C3
165,655439,1,0,0,0,0,0,1,0,1,0,,42,CCOC(=O)C1=C(NC(=O)NC1C2=COC=C2)C
166,655575,1,0,1,0,1,0,0,0,0,1,,20,CC(C)CCN1C(=NN=N1)C(C2=CC=C(C=C2)F)N3CCN(CC3)C(=O)C4=CC=CO4
167,586663,0,0,0,1,0,0,1,0,0,0,,0,C1=CC(=CC=C1CCNC(=O)C2=NC=NN2)Cl
168,5769094,1,0,0,0,0,0,0,1,0,0,,0,COC(=O)C1=NOC(=C1)C=CC2=CC=CC=C2
169,655776,1,0,1,0,0,1,1,0,0,0,,0,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3
170,655785,0,0,0,0,0,0,1,0,0,0,,0,CC(C(=O)NCC1CCCO1)NC(=O)OCC2=CC=CC=C2
171,655857,1,0,0,0,0,1,1,0,1,0,,41,C1CN(CC2=CC=CC=C21)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5
172,655866,0,0,1,0,0,0,0,0,0,1,,20,CC(C)CN1C2CCCC1CC(C2)NC(=O)C3=CC(=C(C=C3)OC)OC
173,655926,1,0,0,1,0,1,1,0,0,0,,0,CC1=CC(=C(C=C1)C)NC(=O)C(CC2=C(C(=CC=C2)OC)OC)C3=NNN=N3
174,655948,0,1,0,0,0,1,1,0,0,0,,0,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC5=CC=CC=C5S4
175,656017,0,0,0,0,0,1,1,0,1,0,,42,CC(C)C(=O)NC1=CC2=C(C=C1C(=O)C3=CC=CC=C3)OCCO2
176,656027,0,0,0,0,0,1,0,1,1,0,,64,COC1=C(C=C(C=C1)CCN2C(C(=C(C2=O)O)C(=O)C3=CC=CO3)C4=CC=CS4)OC
177,656095,0,0,0,0,0,1,0,0,0,0,,0,CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=C(C=C(C=C3)OC)OC)C(=O)N4CCOCC4
178,656157,1,0,0,0,0,0,1,0,1,0,,42,C1=CC=C(C=C1)N2C3=C(C=N2)C(=O)OC(=N3)C4=CC=CO4
179,656183,1,0,0,0,0,0,1,0,1,0,,41,CC(C)OC(=O)NCCOC(=O)NC1=CC(=CC=C1)Cl
